idx,handclap,headbanging,sitstand
40,True,False,False
90,True,False,False
140,True,False,False
170,True,False,False
192,False,False,True
193,False,False,True
194,False,False,True
195,False,False,True
196,False,False,True
197,False,False,True
198,False,False,True
199,False,False,True
200,False,False,True
201,False,False,True
202,False,False,True
203,False,False,True
204,False,False,True
205,False,False,True
206,False,False,True
207,False,False,True
208,False,False,True
209,False,False,True
210,False,False,True
211,False,False,True
212,False,False,True
213,False,False,True
214,False,False,True
215,False,False,True
236,False,True,False
350,True,False,False
442,False,True,False
480,False,False,True
481,False,False,True
482,False,False,True
483,False,False,True
484,False,False,True
485,False,False,True
486,False,False,True
487,False,False,True
488,False,False,True
489,False,False,True
490,False,False,True
491,False,False,True
492,False,False,True
493,False,False,True
494,False,False,True
495,False,False,True
496,False,False,True
497,False,False,True
498,False,False,True
499,False,False,True
500,True,False,True
501,False,False,True
502,False,False,True
503,False,False,True
550,True,False,False
680,True,False,False
720,True,False,False
870,True,False,False
890,False,True,False
920,True,False,False
936,False,False,True
937,False,False,True
938,False,False,True
939,False,False,True
940,False,False,True
941,False,False,True
942,False,False,True
943,False,False,True
944,False,False,True
945,False,False,True
946,False,False,True
947,False,False,True
948,False,False,True
949,False,False,True
950,False,False,True
951,False,False,True
952,False,False,True
953,False,False,True
954,False,False,True
955,False,False,True
956,False,False,True
957,False,False,True
958,False,False,True
959,False,False,True
970,True,False,False
984,False,False,True
985,False,False,True
986,False,False,True
987,False,False,True
988,False,False,True
989,False,False,True
990,True,False,True
991,False,False,True
992,False,False,True
993,False,False,True
994,False,False,True
995,False,False,True
996,False,False,True
997,False,False,True
998,False,False,True
999,False,False,True
1000,False,False,True
1001,False,False,True
1002,False,False,True
1003,False,False,True
1004,False,False,True
1005,False,False,True
1006,False,False,True
1007,False,False,True
1060,True,False,False
1104,False,False,True
1105,False,False,True
1106,False,False,True
1107,False,False,True
1108,False,False,True
1109,False,False,True
1110,False,False,True
1111,False,False,True
1112,False,False,True
1113,False,False,True
1114,False,False,True
1115,False,False,True
1116,False,False,True
1117,False,False,True
1118,False,False,True
1119,False,False,True
1120,False,False,True
1121,False,False,True
1122,False,False,True
1123,False,False,True
1124,False,False,True
1125,False,False,True
1126,False,False,True
1127,False,False,True
1176,False,False,True
1177,False,False,True
1178,False,False,True
1179,False,False,True
1180,False,False,True
1181,False,False,True
1182,False,False,True
1183,False,False,True
1184,False,False,True
1185,False,False,True
1186,False,False,True
1187,False,False,True
1188,False,False,True
1189,False,False,True
1190,False,False,True
1191,False,False,True
1192,False,False,True
1193,False,False,True
1194,False,False,True
1195,False,False,True
1196,False,False,True
1197,False,False,True
1198,False,False,True
1199,False,False,True
1538,False,True,False
1566,False,True,False
1846,False,True,False
1852,False,True,False
1862,False,True,False
1900,True,False,False
1910,True,False,False
1930,True,False,False
1950,True,False,False
1992,False,False,True
1993,False,False,True
1994,False,False,True
1995,False,False,True
1996,False,False,True
1997,False,False,True
1998,False,False,True
1999,False,True,True
2000,False,False,True
2001,False,False,True
2002,False,False,True
2003,False,False,True
2004,False,False,True
2005,False,False,True
2006,False,False,True
2007,False,False,True
2008,False,False,True
2009,False,False,True
2010,False,False,True
2011,False,False,True
2012,False,False,True
2013,False,False,True
2014,False,False,True
2015,False,False,True
2016,False,False,True
2017,False,False,True
2018,False,False,True
2019,False,False,True
2020,False,False,True
2021,False,False,True
2022,False,False,True
2023,False,False,True
2024,False,False,True
2025,False,False,True
2026,False,False,True
2027,False,False,True
2028,False,False,True
2029,False,False,True
2030,False,False,True
2031,False,False,True
2032,False,False,True
2033,False,False,True
2034,False,False,True
2035,False,False,True
2036,False,False,True
2037,False,False,True
2038,False,False,True
2039,False,False,True
2064,False,False,True
2065,False,False,True
2066,False,False,True
2067,False,False,True
2068,False,False,True
2069,False,False,True
2070,False,False,True
2071,False,False,True
2072,False,False,True
2073,False,False,True
2074,False,False,True
2075,False,False,True
2076,False,False,True
2077,False,False,True
2078,False,False,True
2079,False,False,True
2080,False,False,True
2081,False,True,True
2082,False,False,True
2083,False,False,True
2084,False,False,True
2085,False,False,True
2086,False,False,True
2087,False,True,True
2150,True,False,False
2160,True,False,False
2170,True,False,False
2230,True,False,False
2250,True,False,False
2260,True,False,False
2304,False,False,True
2305,False,False,True
2306,False,False,True
2307,False,False,True
2308,False,False,True
2309,False,False,True
2310,False,False,True
2311,False,False,True
2312,False,False,True
2313,False,False,True
2314,False,False,True
2315,False,False,True
2316,False,False,True
2317,False,False,True
2318,False,False,True
2319,False,False,True
2320,False,False,True
2321,False,False,True
2322,False,False,True
2323,False,False,True
2324,False,True,True
2325,False,False,True
2326,False,False,True
2327,False,False,True
2350,True,False,False
2374,False,True,False
2387,False,True,False
2417,False,True,False
2420,True,False,False
2450,True,False,False
2472,False,False,True
2473,False,False,True
2474,False,False,True
2475,False,False,True
2476,False,False,True
2477,False,False,True
2478,False,False,True
2479,False,False,True
2480,False,False,True
2481,False,False,True
2482,False,False,True
2483,False,False,True
2484,False,False,True
2485,False,False,True
2486,False,False,True
2487,False,False,True
2488,False,False,True
2489,False,False,True
2490,False,False,True
2491,False,False,True
2492,False,False,True
2493,False,False,True
2494,False,False,True
2495,False,False,True
2530,True,False,False
2544,False,False,True
2545,False,False,True
2546,False,False,True
2547,False,False,True
2548,False,False,True
2549,False,False,True
2550,False,False,True
2551,False,False,True
2552,False,False,True
2553,False,False,True
2554,False,False,True
2555,False,False,True
2556,False,False,True
2557,False,False,True
2558,False,False,True
2559,False,False,True
2560,False,False,True
2561,False,False,True
2562,False,False,True
2563,False,False,True
2564,False,False,True
2565,False,False,True
2566,False,False,True
2567,False,False,True
2579,False,True,False
2590,True,False,False
2600,True,False,False
2610,True,False,False
2620,True,False,False
2685,False,True,False
2767,False,True,False
2781,False,True,False
2800,True,False,False
2808,False,False,True
2809,False,False,True
2810,True,False,True
2811,False,False,True
2812,False,False,True
2813,False,False,True
2814,False,False,True
2815,False,False,True
2816,False,False,True
2817,False,False,True
2818,False,False,True
2819,False,False,True
2820,False,False,True
2821,False,False,True
2822,False,False,True
2823,False,False,True
2824,False,False,True
2825,False,False,True
2826,False,False,True
2827,False,False,True
2828,False,False,True
2829,False,False,True
2830,True,False,True
2831,False,False,True
2890,True,False,False
2949,False,True,False
3010,True,False,False
3020,True,False,False
3030,True,False,False
3129,False,True,False
3145,False,True,False
3210,False,True,False
3215,False,True,False
3280,False,True,False
3295,False,True,False
3338,False,True,False
3340,True,False,False
3370,True,False,False
3380,True,False,False
3390,True,False,False
3401,False,True,False
3414,False,True,False
3433,False,True,False
3480,True,False,False
3490,True,False,False
3520,True,False,False
3575,False,True,False
3620,True,False,False
3630,True,True,False
3650,True,False,False
3654,False,True,False
3687,False,True,False
3760,True,False,False
3770,True,False,False
3780,True,False,False
3790,True,False,False
3830,True,False,False
3834,False,True,False
3841,False,True,False
3850,True,False,False
3900,True,False,False
3920,True,False,False
3930,True,False,False
3940,True,False,False
3990,True,False,False
4090,True,False,False
4100,True,False,False
4250,True,False,False
4260,True,False,False
